Nro,Job Title,Description,Majors/Concentrations,Qualifications
134,Coordinador De Compras Corporativas,"En la actualidad se encuentra en la búsqueda de un Coordinador de Compras Corporativas cuyas funciones serán:

- Coordinar, organizar y consolidar los requerimientos de proveedores de todas las unidades de negocio.
- Coordinar y ejecutar las compras por contrato de mantenimiento para todas las unidades de negocio.Centralizar las compras por contrato de materiales y servicios (compra de activos, mantenimiento, etc.)
- Generar paquetes de licitacionesActualizar la cartera de proveedores según competencia.
- Emitir informes y sustento de proveedores a la Gerencia de Planificación y Mejora Contínua.","INGENIERÍA CIVIL, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Experiencia de tres a cinco años en el área de mantenimiento, producción de empresas industriales, de servicios o retail.
- Experiencia en compras de repuestos de máquinas y materiales ferreteros (de preferencia).
- Conocimientos de Microsoft Office a nivel intermedio - avanzado (Excel, PPT).
- Conocimientos de compras en materiales y servicios.
- Conocimientos del idioma inglés a nivel intermedio."
135,Coordinador De Compras Menores,"En la actualidad se encuentra en la búsqueda de un Coordinador de Compras Menores cuyas funciones serán:

-Busca mejores oportunidades de ahorro comprando en volumen materiales y servicios menores de mantenimiento para todas las Unidades de Negocio. 
-Centraliza pedidos de materiales y servicios menores.
-Cotiza, analiza y resume los presupuestos para el VoBo.
-Actualiza la cartera de proveedores nacionales según competencia","ADMINISTRACIÓN, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA CIVIL, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","-Experiencia de uno a dos años en el área compras de empresas industriales, de servicios o retail.
-Experiencia en compras de repuestos de máquinas y materiales ferreteros (de preferencia).
-Conocimientos de Microsoft Office a nivel intermedio (Excel, PPT).
-Conocimientos de compras en materiales y servicios.
-Conocimientos del idioma inglés a nivel intermedio."
136,Supervisor Zonal de Mantenimiento,"En la actualidad se encuentra en la búsqueda de un Supervisor Zonal de Mantenimientyo cuyas funciones serán:

-Supervisar eficientemente el cumplimiento del plan de mantenimiento preventivo, correctivo y el trabajo de los subcontratistas en las zonas y tiendas asignadas, asegurando la calidad del trabajo, rapidez en la solución y operatividad de la tienda. Analizar criticidad y modos de falla de los activos.
-Realizar inspecciones de mantenimiento predictivo, a lo largo de las zonas y tiendas asignadas, de acuerdo con los programas y las estrategias definidas.
-Realizar seguimiento en sistema de información de mantenimiento de las solicitudes y órdenes de trabajo.
-Identificar las necesidades de mantenimiento e iniciativas basadas en los resultados y análisis de los controles e inspecciones a la gestión de mantenimiento.
-Identificar los repuestos y/o equipos que deben comprarse, elaborar el documento de requerimientos técnicos y coordinar su adquisición con el área de compras y contratos.
-Identificar mejores prácticas de gestión de mantenimiento y desempeño de marcas de equipos y categorías, de manera de promover su implementación en otras zonas o tiendas.
-Asegurar el cumplimiento de políticas de seguridad, salud y medio ambiente.
-Entrenar a los clientes internos acerca del buen uso de los activos de la tienda.
-Revisar, actualizar el stock de materiales, repuestos de equipo y partes del almacén que son indispensables para garantizar la confiabilidad de las operaciones.
-Formular y remitir al Gerente de Mantenimiento los informes y/o reportes y actas de conformidad de servicio realizado correspondiente al LC o CP o CD a su cargo, así como del desarrollo de los trabajos de mantenimiento efectuados por los Proveedores Corporativos y/o Proveedores Locales contratados.
-Llevar el control documentario del sistema de gestión de seguridad.","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Egresados de las carreras universitarias de Ing. Mecánica, Ing. Mecánica Eléctrica, Ing. Eléctrica o Técnicas profesionales de: Tec. Mecánica, Tec. Mecánica Eléctrica, Tec. Eléctrica.
- Mínimo 3 años de experiencia en áreas de instalaciones, ejecución, mantenimiento de Sistemas de Operación de Servicios Básicos  y proyectos eléctricos, en empresas del rubro industrial y/o comercial retail. 
- Conocimiento de manejo de técnicas de control y tratamiento de residuos, emisiones y efluentes.
- Conocimiento de legislación ambiental.
- Conocimiento del Sistema de Gestión de Seguridad y Mantenimiento, Mercaderías Peligrosas. 
- Conocimientos del idioma ingles intermedio.
- Microsoft Office - Excel: Nivel intermedio – avanzado."
137,Practicante de Ingenieria Electrónica,"- Atención de incidencias- averías.
- Creación de reportes, manejo  de base de datos.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","- Conocimiento de Linux, SCL, redes móviles. 
- Conocimiento en networking, redes fijas y móviles.
- Trasmisión Satelital, redes de datos. 
- Conocimientos en radio enlace, fibra óptica y red satelital.
- Excel intermedio.
- ingles nivel  intermedio.
- Conocimientos en Oracle (deseable)."
138,Programa de Estudiantes de Alto Potencial,"¿Listo para demostrar que eres el mejor?

Somos Yanbal International una corporación transnacional presente en 10 países de América y Europa.

Te invitamos a conocer nuestro programa PEAP, una gran oportunidad para que demuestres tu talento en diferentes áreas estratégicas de nuestra compañía, y descubras en base a tu perfil y fortalezas, el mejor camino para tu carrera profesional.

Si estás interesado envíanos tu CV y coordinaremos contigo una fecha para que participes de una charla informativa en nuestras instalaciones, que se llevará a cabo en la semana del 20 de febrero, previa coordinación telefónica.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Requisitos para participar del PEAP:
- Cursar entre 8° y 9° ciclo"
139,Analista Programador Java,"Participar en las distintas etapas de desarrollo de los proyectos y/o productos que le sean asignados por la empresa.
Participar en el proceso de Análisis de Requerimientos, y Análisis y Diseño.
Participar en la planificación, análisis, diseño, desarrollo, pruebas, implementación y seguimiento de los proyectos y/o productos asignados por la empresa, en los casos que se le asigne.
Mantener actualizada la documentación generada del proyecto y/o producto asignado.
Realizar la capacitación del proyecto y/o producto donde participe, en caso que le sean asignados. 
Evaluar los componentes que se van a necesitar para satisfacer los requerimientos.
Asumir el rol de “Supervisor del Equipo de Desarrollo” cuando le sea designado. Este rol implica supervisar, capacitar y apoyar en caso sea requerido al equipo de desarrollo.","INFORMÁTICA CON MENCIÓN EN CIENCIAS DE LA COMPUTACIÓN, INFORMÁTICA CON MENCIÓN EN INGENIERÍA DE SOFTWARE, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA",
140,Arquitecto de Sistemas,"Desarrollo e implementación de los productos de software y sus componentes.
Definir/proponer, revisar y mejorar el marco de trabajo de la arquitectura de la empresa.
Elaborar modelos de arquitectura de los sistemas, productos y servicios.
Participar en la elaboración de propuestas técnicas.
Inducir al personal de análisis y diseño en la arquitectura propuesta para el producto o servicio.","INFORMÁTICA CON MENCIÓN EN CIENCIAS DE LA COMPUTACIÓN, INFORMÁTICA CON MENCIÓN EN INGENIERÍA DE SOFTWARE, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","·          Certificación en JAVA

·          Conocimiento Norma IEEE 1471

·          Conocimientos en Enterprise Architecture

·          Conocimiento en metodologías de desarrollo ágil de software

·          Conocimientos de Tecnologías JEE (JEE6, JEE7)

·          Conocimiento en ejecución de estándares y componentes específicos de arquitectura de sistemas

·          Conocimiento en Herramientas de Análisis de Código (Sonar)

·          Conocimientos en Maven

·          Conocimientos intermedios en Administración de Servidores de Aplicaciones (JBoss, Was, WebLogic).

·          Experiencia en manejo de equipos de trabajo (de preferencia).

·          Conocimientos en elaboración de Test Unitarios, Test Funcionales y Test de Performance.

·          Sistemas Operativos: Unix, Linux, Windows.

·          Bases de Datos  (programación): Oracle y/o PostgreSQL y/o DB2.

·          Conocimientos en Modelamiento de Base de datos.

·          Lectura de documentos referidos a arquitectura de sistemas (inglés).

·          Experiencia mayor a 3 años como Arquitecto de Sistemas - Arquitecto de Software o cargos similares.

·          Experiencia en proyectos de TI relacionados a sistemas transaccionales (entidades financieras, entre otros).

·          Con Espíritu de investigación, innovación, enfoque al cliente, adaptabilidad y flexibilidad y deseos de superación."
141,Líder Técnico (Especialista de Desarrollo de Software),"•	Investigar nuevas metodologías y/o tecnologías para aplicarlas en el desarrollo de los productos y/o servicios de la empresa.
•	Capacitar al personal en nuevas metodologías y/o tecnologías  de desarrollo de software.
•	Participar en la definición, proponer, revisar y mejorar el marco de trabajo de la arquitectura de los productos y/o servicios de la empresa.
•	Elaborar modelos de arquitectura de los sistemas, productos y servicios.
•	Participar y apoyar en la elaboración de propuestas técnicas.
•	Capacitar al personal de análisis y diseño en la arquitectura propuesta para el producto o servicio.
•	Debe asumir el rol de Auditor de Producto para verificar que éstos se alinean a la arquitectura esperada por la empresa.
•	Apoyar en caso sea necesario en el desarrollo e implementación de los productos de software y sus componentes.","INFORMÁTICA CON MENCIÓN EN CIENCIAS DE LA COMPUTACIÓN, INFORMÁTICA CON MENCIÓN EN INGENIERÍA DE SOFTWARE, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Nos encontramos en la búsqueda del mejor talento, comprometidos, proactivos, que lleguen a resultados esperados, que brinden importancia la calidad de su trabajo."
142,Analista de Sistemas,"Asumir el rol de “Gerente de Proyecto” cuando sea designado. Este rol implica gestionar eficientemente la programación de actividades en cada una de las etapas del proyecto.
 
Analizar las necesidades del cliente y participar en las distintas etapas de desarrollo de los proyectos y/o productos que le sean asignados por la empresa.
 
Participar en el proceso de Análisis de Requerimientos, y Análisis y Diseño.

Establecer y definir la funcionalidad del sistema.

Participar en la planificación, análisis, diseño, desarrollo, pruebas, implementación y seguimiento de los proyectos y/o productos asignados por la empresa, en los casos que se le asigne.

Mantener actualizada la documentación generada del proyecto y/o producto asignado.

Realizar la capacitación del proyecto y/o producto donde participe, en caso que le sean asignados.

Evaluar los componentes que se van a necesitar para satisfacer los requerimientos. Decidir si los componentes van a ser desarrollados (incluye diseño), reutilizados o comprados. Validar los requerimientos de software, hardware, etc. de los proyectos.","INFORMÁTICA CON MENCIÓN EN CIENCIAS DE LA COMPUTACIÓN, INFORMÁTICA CON MENCIÓN EN INGENIERÍA DE SOFTWARE, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","·          Conocimiento en metodologías de desarrollo ágil de software.

·          Experiencia en manejo de equipos de trabajo.

·          Sistemas Operativos: Unix, Linux, Windows.

·          Lenguajes de Programación (Lenguaje Java y/o C) intermedio.

·          Herramientas IDE (Netbeans y/o Eclipse).

·          Bases de Datos (programación): Oracle y/o PostgreSQL y/o DB2.

·          Conocimientos en modelamiento de base de datos.

·          Experiencia mínima en el puesto, de 02 años en el cargo o similares, de preferencia en empresas de TI o empresas financieras.

·          Experiencia en procesos de estándares de calidad en software (ISO 9001, CMMI). (de preferencia).

·          Con Espíritu de investigación, innovación, enfoque al cliente, adaptabilidad y flexibilidad y deseos de superación."
143,Analista Programador C /C++,"Participar en las distintas etapas de desarrollo de los proyectos y/o productos que le sean asignados por la empresa.

Participar en el proceso de Análisis de Requerimientos, y Análisis y Diseño.

Participar en la planificación, análisis, diseño, desarrollo, pruebas, implementación y seguimiento de los proyectos y/o productos asignados por la empresa, en los casos que se le asigne.

Mantener actualizada la documentación generada del proyecto y/o producto asignado.

Realizar la capacitación del proyecto y/o producto donde participe, en caso que le sean asignados.

Evaluar los componentes que se van a necesitar para satisfacer los requerimientos.

Asumir el rol de “Supervisor del Equipo de Desarrollo” cuando le sea designado. 

Este rol implica supervisar, capacitar y apoyar en caso sea requerido al equipo de desarrollo.","INFORMÁTICA CON MENCIÓN EN CIENCIAS DE LA COMPUTACIÓN, INFORMÁTICA CON MENCIÓN EN INGENIERÍA DE SOFTWARE, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","·          Lenguajes de Programación (Lenguaje C) Avanzado.

·          Conocimiento en metodologías de desarrollo ágil de software.

·          Experiencia en manejo de equipos de trabajo (de preferencia).

·          Sistemas Operativos: Unix, Linux, Windows.

·          Bases de Datos (programación): Oracle y/o PostgreSQL y/o DB2.

·          Conocimientos en Modelamiento de Base de datos.

·          Experiencia mínima en el puesto, de 02 años en el cargo o similares, de preferencia en empresas de TI o empresas financieras.

·          Experiencia en procesos de estándares de calidad en software (ISO 9001 - CMMI) (de preferencia).

·          Con Espíritu de investigación, innovación, enfoque al cliente, adaptabilidad y flexibilidad y deseos de superación."
